OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
6028,Quebec,Mont Copper,54,MCR17,17/30,1800,80,67,Vestas,V80,2004/2005,48,94919173,-65,53709421,
6029,Quebec,Mont Copper,54,MCR18,18/30,1800,80,67,Vestas,V80,2004/2005,48,9473735,-65,53308498,
6030,Quebec,Mont Copper,54,MCR19,19/30,1800,80,67,Vestas,V80,2004/2005,48,94547143,-65,52906242,
6031,Quebec,Mont Copper,54,MCR20,20/30,1800,80,67,Vestas,V80,2004/2005,48,94153243,-65,52879835,
6032,Quebec,Mont Copper,54,MCR21,21/30,1800,80,67,Vestas,V80,2004/2005,48,93828349,-65,52831237,
6033,Quebec,Mont Copper,54,MCR22,22/30,1800,80,67,Vestas,V80,2004/2005,48,9552479,-65,55308365,
6034,Quebec,Mont Copper,54,MCR23,23/30,1800,80,67,Vestas,V80,2004/2005,48,94193661,-65,574494,
6035,Quebec,Mont Copper,54,MCR24,24/30,1800,80,67,Vestas,V80,2004/2005,48,93834125,-65,57196668,
6036,Quebec,Mont Copper,54,MCR25,25/30,1800,80,67,Vestas,V80,2004/2005,48,93751218,-65,57777,
6037,Quebec,Mont Copper,54,MCR26,26/30,1800,80,67,Vestas,V80,2004/2005,48,93717759,-65,56764747,
6038,Quebec,Mont Copper,54,MCR27,27/30,1800,80,67,Vestas,V80,2004/2005,48,93725917,-65,5623519,
6039,Quebec,Mont Copper,54,MCR28,28/30,1800,80,67,Vestas,V80,2004/2005,48,93741958,-65,55720075,
6040,Quebec,Mont Copper,54,MCR29,29/30,1800,80,67,Vestas,V80,2004/2005,48,9366332,-65,55222647,
6041,Quebec,Mont Copper,54,MCR30,30/30,1800,80,67,Vestas,V80,2004/2005,48,9346958,-65,54804193,
6042,Quebec,Gros-Morne,211,5,GRM1,1/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23797507,-65,41891318,
6043,Quebec,Gros-Morne,211,5,GRM2,2/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23732128,-65,42863058,
6044,Quebec,Gros-Morne,211,5,GRM3,3/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23535285,-65,42830275,
6045,Quebec,Gros-Morne,211,5,GRM4,4/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23330743,-65,42333941,
6046,Quebec,Gros-Morne,211,5,GRM5,5/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23132008,-65,42206988,
6047,Quebec,Gros-Morne,211,5,GRM6,6/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22932665,-65,41967706,
6048,Quebec,Gros-Morne,211,5,GRM7,7/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2239063,-65,42145594,
6049,Quebec,Gros-Morne,211,5,GRM8,8/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22468104,-65,41439529,
6050,Quebec,Gros-Morne,211,5,GRM9,9/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22047817,-65,41658456,
6051,Quebec,Gros-Morne,211,5,GRM10,10/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2201935,-65,42106975,
6052,Quebec,Gros-Morne,211,5,GRM11,11/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23272089,-65,43357766,
6053,Quebec,Gros-Morne,211,5,GRM12,12/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23107064,-65,43359674,
6054,Quebec,Gros-Morne,211,5,GRM13,13/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22770105,-65,43366067,
6055,Quebec,Gros-Morne,211,5,GRM14,14/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22566598,-65,43389568,
6056,Quebec,Gros-Morne,211,5,GRM15,15/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22373748,-65,43342625,
6057,Quebec,Gros-Morne,211,5,GRM16,16/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22163146,-65,43293978,
6058,Quebec,Gros-Morne,211,5,GRM17,17/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21962839,-65,43291612,
6059,Quebec,Gros-Morne,211,5,GRM18,18/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21751881,-65,43263326,
6060,Quebec,Gros-Morne,211,5,GRM19,19/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21545991,-65,43238058,
6061,Quebec,Gros-Morne,211,5,GRM20,20/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21337579,-65,43221577,
6062,Quebec,Gros-Morne,211,5,GRM21,21/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21080782,-65,43063272,
6063,Quebec,Gros-Morne,211,5,GRM22,22/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2090054,-65,43074717,
6064,Quebec,Gros-Morne,211,5,GRM23,23/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20675186,-65,43122162,
6065,Quebec,Gros-Morne,211,5,GRM24,24/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20481755,-65,4326004,
6066,Quebec,Gros-Morne,211,5,GRM25,25/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2029942,-65,43483199,
6067,Quebec,Gros-Morne,211,5,GRM26,26/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20044174,-65,43046856,
6068,Quebec,Gros-Morne,211,5,GRM27,27/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19825983,-65,43001206,
6069,Quebec,Gros-Morne,211,5,GRM28,28/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19611822,-65,42938105,
6070,Quebec,Gros-Morne,211,5,GRM29,29/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19407133,-65,42876979,
6071,Quebec,Gros-Morne,211,5,GRM30,30/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19162396,-65,42785581,
6072,Quebec,Gros-Morne,211,5,GRM31,31/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18965686,-65,42696997,
6073,Quebec,Gros-Morne,211,5,GRM32,32/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18622503,-65,42541488,
6074,Quebec,Gros-Morne,211,5,GRM33,33/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18823922,-65,41832961,
6075,Quebec,Gros-Morne,211,5,GRM34,34/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18631165,-65,41704709,
6076,Quebec,Gros-Morne,211,5,GRM35,35/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17887629,-65,420036,
6077,Quebec,Gros-Morne,211,5,GRM36,36/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17688769,-65,41831947,
6078,Quebec,Gros-Morne,211,5,GRM37,37/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17394567,-65,41846789,
6079,Quebec,Gros-Morne,211,5,GRM38,38/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17591366,-65,40918849,
6080,Quebec,Gros-Morne,211,5,GRM39,39/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22521089,-65,39738783,
6081,Quebec,Gros-Morne,211,5,GRM40,40/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22609997,-65,39337224,
6082,Quebec,Gros-Morne,211,5,GRM41,41/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20871424,-65,40755089,
6083,Quebec,Gros-Morne,211,5,GRM42,42/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21207004,-65,40443456,
6084,Quebec,Gros-Morne,211,5,GRM43,43/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21445398,-65,39545694,
6085,Quebec,Gros-Morne,211,5,GRM44,44/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21627166,-65,38724524,
6086,Quebec,Gros-Morne,211,5,GRM45,45/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21430688,-65,38454171,
6087,Quebec,Gros-Morne,211,5,GRM46,46/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20200551,-65,40116204,
6088,Quebec,Gros-Morne,211,5,GRM47,47/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20781654,-65,36545599,
6089,Quebec,Gros-Morne,211,5,GRM48,48/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20452059,-65,36841537,
6090,Quebec,Gros-Morne,211,5,GRM49,49/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20252395,-65,36661925,
6091,Quebec,Gros-Morne,211,5,GRM50,50/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20280552,-65,37886276,
6092,Quebec,Gros-Morne,211,5,GRM51,51/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20074579,-65,37911712,
6093,Quebec,Gros-Morne,211,5,GRM52,52/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19354288,-65,37597224,
6094,Quebec,Gros-Morne,211,5,GRM53,53/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,1923056,-65,38025319,
6095,Quebec,Gros-Morne,211,5,GRM54,54/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19173596,-65,38475098,
6096,Quebec,Gros-Morne,211,5,GRM55,55/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19040753,-65,38875449,
6097,Quebec,Gros-Morne,211,5,GRM56,56/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,235897,-65,48674705,
6098,Quebec,Gros-Morne,211,5,GRM57,57/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23690536,-65,49229906,
6099,Quebec,Gros-Morne,211,5,GRM58,58/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23491095,-65,49184946,
6100,Quebec,Gros-Morne,211,5,GRM59,59/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23287561,-65,49136088,
6101,Quebec,Gros-Morne,211,5,GRM60,60/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2308003,-65,49060991,
6102,Quebec,Gros-Morne,211,5,GRM61,61/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22584916,-65,48511064,
6103,Quebec,Gros-Morne,211,5,GRM62,62/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22679765,-65,47617581,
6104,Quebec,Gros-Morne,211,5,GRM63,63/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22484169,-65,47567612,
6105,Quebec,Gros-Morne,211,5,GRM64,64/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22623173,-65,46420399,
6106,Quebec,Gros-Morne,211,5,GRM65,65/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22287521,-65,46600229,
6107,Quebec,Gros-Morne,211,5,GRM66,66/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22179974,-65,47250908,
6108,Quebec,Gros-Morne,211,5,GRM67,67/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23707569,-65,4997231,
6109,Quebec,Gros-Morne,211,5,GRM68,68/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23496721,-65,49908505,
6110,Quebec,Gros-Morne,211,5,GRM69,69/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,23181819,-65,49782318,
6111,Quebec,Gros-Morne,211,5,GRM70,70/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22985192,-65,49711178,
6112,Quebec,Gros-Morne,211,5,GRM71,71/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22777401,-65,49437816,
6113,Quebec,Gros-Morne,211,5,GRM72,72/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22559222,-65,49424795,
6114,Quebec,Gros-Morne,211,5,GRM73,73/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22357546,-65,4935641,
6115,Quebec,Gros-Morne,211,5,GRM74,74/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22197027,-65,50020089,
6116,Quebec,Gros-Morne,211,5,GRM75,75/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21927003,-65,49976771,
6117,Quebec,Gros-Morne,211,5,GRM76,76/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21686524,-65,49951808,
6118,Quebec,Gros-Morne,211,5,GRM77,77/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21932699,-65,49145624,
6119,Quebec,Gros-Morne,211,5,GRM78,78/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21728177,-65,49022814,
6120,Quebec,Gros-Morne,211,5,GRM79,79/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21533924,-65,48536831,
6121,Quebec,Gros-Morne,211,5,GRM80,80/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2144252,-65,48064312,
6122,Quebec,Gros-Morne,211,5,GRM81,81/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22014078,-65,48404347,
6123,Quebec,Gros-Morne,211,5,GRM82,82/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22334792,-65,4834274,
6124,Quebec,Gros-Morne,211,5,GRM83,83/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22098062,-65,47977891,
6125,Quebec,Gros-Morne,211,5,GRM84,84/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,22367151,-65,51259349,
6126,Quebec,Gros-Morne,211,5,GRM85,85/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2219152,-65,50909397,
6127,Quebec,Gros-Morne,211,5,GRM86,86/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21470916,-65,4999672,
6128,Quebec,Gros-Morne,211,5,GRM87,87/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21268873,-65,49932661,
6129,Quebec,Gros-Morne,211,5,GRM88,88/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20977628,-65,51676964,
6130,Quebec,Gros-Morne,211,5,GRM89,89/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21111014,-65,50749004,
6131,Quebec,Gros-Morne,211,5,GRM90,90/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20753732,-65,50536306,
6132,Quebec,Gros-Morne,211,5,GRM91,91/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20842727,-65,49731311,
6133,Quebec,Gros-Morne,211,5,GRM92,92/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20591351,-65,49571965,
6134,Quebec,Gros-Morne,211,5,GRM93,93/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20276321,-65,49469982,
6135,Quebec,Gros-Morne,211,5,GRM94,94/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,2006285,-65,49335963,
6136,Quebec,Gros-Morne,211,5,GRM95,95/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19850302,-65,49217908,
6137,Quebec,Gros-Morne,211,5,GRM96,96/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19632631,-65,49230685,
6138,Quebec,Gros-Morne,211,5,GRM97,97/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19947204,-65,51621552,
6139,Quebec,Gros-Morne,211,5,GRM98,98/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19748874,-65,51523936,
6140,Quebec,Gros-Morne,211,5,GRM99,99/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20022009,-65,5103444,
6141,Quebec,Gros-Morne,211,5,GRM100,100/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20052921,-65,50532416,
6142,Quebec,Gros-Morne,211,5,GRM101,101/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19832828,-65,50469047,
6143,Quebec,Gros-Morne,211,5,GRM102,102/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19621188,-65,50299912,
6144,Quebec,Gros-Morne,211,5,GRM103,103/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19401775,-65,50184971,
6145,Quebec,Gros-Morne,211,5,GRM104,104/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19186741,-65,50059111,
6146,Quebec,Gros-Morne,211,5,GRM105,105/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18983791,-65,49934828,
6147,Quebec,Gros-Morne,211,5,GRM106,106/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19362594,-65,5124476,
6148,Quebec,Gros-Morne,211,5,GRM107,107/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19172549,-65,51333689,
6149,Quebec,Gros-Morne,211,5,GRM108,108/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18964255,-65,51356565,
6150,Quebec,Gros-Morne,211,5,GRM109,109/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18665974,-65,50904932,
6151,Quebec,Gros-Morne,211,5,GRM110,110/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18499152,-65,50231612,
6152,Quebec,Gros-Morne,211,5,GRM111,111/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18278744,-65,50204631,
6153,Quebec,Gros-Morne,211,5,GRM112,112/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17933403,-65,50233956,
6154,Quebec,Gros-Morne,211,5,GRM113,113/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17735832,-65,50140026,
6155,Quebec,Gros-Morne,211,5,GRM114,114/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17522408,-65,50058787,
6156,Quebec,Gros-Morne,211,5,GRM115,115/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17324238,-65,50040622,
6157,Quebec,Gros-Morne,211,5,GRM116,116/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18981509,-65,43462776,
6158,Quebec,Gros-Morne,211,5,GRM117,117/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17475368,-65,51105965,
6159,Quebec,Gros-Morne,211,5,GRM118,118/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18669698,-65,49466566,
6160,Quebec,Gros-Morne,211,5,GRM119,119/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18359697,-65,49140401,
6161,Quebec,Gros-Morne,211,5,GRM120,120/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18145103,-65,49006454,
6162,Quebec,Gros-Morne,211,5,GRM121,121/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17935473,-65,48830171,
6163,Quebec,Gros-Morne,211,5,GRM122,122/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17747504,-65,48770236,
6164,Quebec,Gros-Morne,211,5,GRM123,123/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17841048,-65,4795665,
6165,Quebec,Gros-Morne,211,5,GRM124,124/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18155974,-65,47957136,
6166,Quebec,Gros-Morne,211,5,GRM125,125/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20075051,-65,48000116,
6167,Quebec,Gros-Morne,211,5,GRM126,126/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19862501,-65,47913166,
6168,Quebec,Gros-Morne,211,5,GRM127,127/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20154805,-65,46934764,
6169,Quebec,Gros-Morne,211,5,GRM128,128/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19943891,-65,46892267,
6170,Quebec,Gros-Morne,211,5,GRM129,129/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19635018,-65,46897076,
6171,Quebec,Gros-Morne,211,5,GRM130,130/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19614818,-65,46114942,
6172,Quebec,Gros-Morne,211,5,GRM131,131/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,19011228,-65,46590363,
6173,Quebec,Gros-Morne,211,5,GRM132,132/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18471215,-65,45826423,
6174,Quebec,Gros-Morne,211,5,GRM133,133/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18276357,-65,45766004,
6175,Quebec,Gros-Morne,211,5,GRM134,134/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,18084889,-65,45720986,
6176,Quebec,Gros-Morne,211,5,GRM135,135/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17844495,-65,45670962,
6177,Quebec,Gros-Morne,211,5,GRM136,136/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17632873,-65,45619386,
6178,Quebec,Gros-Morne,211,5,GRM137,137/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,17316199,-65,45527443,
6179,Quebec,Gros-Morne,211,5,GRM138,138/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20425524,-65,40424877,
6180,Quebec,Gros-Morne,211,5,GRM139,139/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,20857084,-65,39818474,
6181,Quebec,Gros-Morne,211,5,GRM140,140/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21144122,-65,39316127,
6182,Quebec,Gros-Morne,211,5,GRM141,141/141,1500,77,80,GE,GE 1.5SLE,2011/2012,49,21300545,-65,39935331,
6183,Quebec,Seigneurie de Beaupr�,340,SDB1,1/154,2000,82,85,Enercon,E-82,2013/2014,47,33252889,-70,82807542,
6184,Quebec,Seigneurie de Beaupr�,340,SDB2,2/154,2000,82,85,Enercon,E-82,2013/2014,47,33064949,-70,82867931,
6185,Quebec,Seigneurie de Beaupr�,340,SDB3,3/154,2000,82,85,Enercon,E-82,2013/2014,47,34339626,-70,86844079,
6186,Quebec,Seigneurie de Beaupr�,340,SDB4,4/154,2300,70,85,Enercon,E-72,2013/2014,47,33900727,-70,85174794,
6187,Quebec,Seigneurie de Beaupr�,340,SDB5,5/154,2000,82,85,Enercon,E-82,2013/2014,47,34821459,-70,87256348,
6188,Quebec,Seigneurie de Beaupr�,340,SDB6,6/154,2000,82,85,Enercon,E-82,2013/2014,47,34583761,-70,87067507,
6189,Quebec,Seigneurie de Beaupr�,340,SDB7,7/154,2000,82,98,Enercon,E-82,2013/2014,47,36454232,-70,87160886,
6190,Quebec,Seigneurie de Beaupr�,340,SDB8,8/154,2000,82,85,Enercon,E-82,2013/2014,47,30328273,-70,92537871,
6191,Quebec,Seigneurie de Beaupr�,340,SDB9,9/154,2000,82,85,Enercon,E-82,2013/2014,47,30578897,-70,923041,
6192,Quebec,Seigneurie de Beaupr�,340,SDB10,10/154,2000,82,85,Enercon,E-82,2013/2014,47,30328657,-70,93189178,
6193,Quebec,Seigneurie de Beaupr�,340,SDB11,11/154,2000,82,85,Enercon,E-82,2013/2014,47,30310108,-70,93912018,
6194,Quebec,Seigneurie de Beaupr�,340,SDB12,12/154,2000,82,85,Enercon,E-82,2013/2014,47,30631873,-70,94300709,
6195,Quebec,Seigneurie de Beaupr�,340,SDB13,13/154,2000,82,85,Enercon,E-82,2013/2014,47,30698154,-70,94979132,
6196,Quebec,Seigneurie de Beaupr�,340,SDB14,14/154,2300,70,85,Enercon,E-72,2013/2014,47,31714475,-70,9479869,
6197,Quebec,Seigneurie de Beaupr�,340,SDB15,15/154,2300,70,85,Enercon,E-72,2013/2014,47,3189448,-70,94141294,
6198,Quebec,Seigneurie de Beaupr�,340,SDB16,16/154,2300,70,85,Enercon,E-72,2013/2014,47,32233732,-70,94021142,
6199,Quebec,Seigneurie de Beaupr�,340,SDB17,17/154,2300,70,85,Enercon,E-72,2013/2014,47,31584495,-70,93964169,
6200,Quebec,Seigneurie de Beaupr�,340,SDB18,18/154,2000,82,98,Enercon,E-82,2013/2014,47,3233123,-70,91262906,
6201,Quebec,Seigneurie de Beaupr�,340,SDB19,19/154,2000,82,85,Enercon,E-82,2013/2014,47,32592654,-70,91544804,
6202,Quebec,Seigneurie de Beaupr�,340,SDB20,20/154,2000,82,85,Enercon,E-82,2013/2014,47,32840099,-70,91820339,
6203,Quebec,Seigneurie de Beaupr�,340,SDB21,21/154,2000,82,85,Enercon,E-82,2013/2014,47,32337128,-70,95960309,
6204,Quebec,Seigneurie de Beaupr�,340,SDB22,22/154,2000,82,85,Enercon,E-82,2013/2014,47,32662949,-70,95984063,
6205,Quebec,Seigneurie de Beaupr�,340,SDB23,23/154,2000,82,85,Enercon,E-82,2013/2014,47,32914613,-70,95454088,
6206,Quebec,Seigneurie de Beaupr�,340,SDB24,24/154,2000,82,85,Enercon,E-82,2013/2014,47,3321231,-70,95398052,
6207,Quebec,Seigneurie de Beaupr�,340,SDB25,25/154,2000,82,85,Enercon,E-82,2013/2014,47,33523349,-70,95314472,
6208,Quebec,Seigneurie de Beaupr�,340,SDB26,26/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,27277956,-70,99563602,
6209,Quebec,Seigneurie de Beaupr�,340,SDB27,27/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,27063406,-70,99594709,
6210,Quebec,Seigneurie de Beaupr�,340,SDB28,28/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26803964,-70,99344791,
6211,Quebec,Seigneurie de Beaupr�,340,SDB29,29/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26464562,-70,99187966,
6212,Quebec,Seigneurie de Beaupr�,340,SDB30,30/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,2625,-70,99000931,
6213,Quebec,Seigneurie de Beaupr�,340,SDB31,31/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,254962,-70,99099829,
6214,Quebec,Seigneurie de Beaupr�,340,SDB32,32/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,25809603,-70,98843812,
6215,Quebec,Seigneurie de Beaupr�,340,SDB33,33/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26040263,-70,98932092,
6216,Quebec,Seigneurie de Beaupr�,340,SDB34,34/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,25560723,-70,97465651,
6217,Quebec,Seigneurie de Beaupr�,340,SDB35,35/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,25306351,-70,97545812,
6218,Quebec,Seigneurie de Beaupr�,340,SDB36,36/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26078872,-70,96671624,
6219,Quebec,Seigneurie de Beaupr�,340,SDB37,37/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26373436,-70,96589567,
6220,Quebec,Seigneurie de Beaupr�,340,SDB38,38/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,2682871,-70,9661145,
6221,Quebec,Seigneurie de Beaupr�,340,SDB39,39/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26992557,-70,96267948,
6222,Quebec,Seigneurie de Beaupr�,340,SDB40,40/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,27227851,-70,9454158,
6223,Quebec,Seigneurie de Beaupr�,340,SDB41,41/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,27020744,-70,94435851,
6224,Quebec,Seigneurie de Beaupr�,340,SDB42,42/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26767788,-70,93987765,
6225,Quebec,Seigneurie de Beaupr�,340,SDB43,43/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,26485374,-70,93634711,
6226,Quebec,Seigneurie de Beaupr�,340,SDB44,44/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,24950759,-70,92938441,
6227,Quebec,Seigneurie de Beaupr�,340,SDB45,45/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,24893374,-70,92291067,
6228,Quebec,Seigneurie de Beaupr�,340,SDB46,46/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,24942925,-70,91360871,
6229,Quebec,Seigneurie de Beaupr�,340,SDB47,47/154,2300,82,85,Enercon,E-82 E2,2013/2014,47,24843962,-70,90820834,
