OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
129,Alberta,McBride Lake,75,MBL99,99/115,660,50,47,Vestas,V47/660,2003,49,57936383,-113,4626499,
130,Alberta,McBride Lake,75,MBL100,100/115,660,50,47,Vestas,V47/660,2003,49,57857712,-113,4610398,
131,Alberta,McBride Lake,75,MBL101,101/115,660,50,47,Vestas,V47/660,2003,49,57780495,-113,4593813,
132,Alberta,McBride Lake,75,MBL102,102/115,660,50,47,Vestas,V47/660,2003,49,57703619,-113,4578904,
133,Alberta,McBride Lake,75,MBL103,103/115,660,50,47,Vestas,V47/660,2003,49,591069,-113,5177554,
134,Alberta,McBride Lake,75,MBL104,104/115,660,50,47,Vestas,V47/660,2003,49,59033131,-113,5160538,
135,Alberta,McBride Lake,75,MBL105,105/115,660,50,47,Vestas,V47/660,2003,49,58978709,-113,5146031,
136,Alberta,McBride Lake,75,MBL106,106/115,660,50,47,Vestas,V47/660,2003,49,58892426,-113,5126738,
137,Alberta,McBride Lake,75,MBL107,107/115,660,50,47,Vestas,V47/660,2003,49,58827965,-113,5111369,
138,Alberta,McBride Lake,75,MBL108,108/115,660,50,47,Vestas,V47/660,2003,49,58748583,-113,5095506,
139,Alberta,McBride Lake,75,MBL109,109/115,660,50,47,Vestas,V47/660,2003,49,5868695,-113,5077875,
140,Alberta,McBride Lake,75,MBL110,110/115,660,50,47,Vestas,V47/660,2003,49,58616474,-113,5062839,
141,Alberta,McBride Lake,75,MBL111,111/115,660,50,47,Vestas,V47/660,2003,49,58543857,-113,5046085,
142,Alberta,McBride Lake,75,MBL112,112/115,660,50,47,Vestas,V47/660,2003,49,58468322,-113,5028535,
143,Alberta,McBride Lake,75,MBL113,113/115,660,50,47,Vestas,V47/660,2003,49,58401021,-113,5011567,
144,Alberta,McBride Lake,75,MBL114,114/115,660,50,47,Vestas,V47/660,2003,49,58336131,-113,4996778,
145,Alberta,McBride Lake,75,MBL115,115/115,660,50,47,Vestas,V47/660,2003,49,58264623,-113,4979945,
146,Alberta,Macleod Flats,3,MAF1,1/1,3000,90,67,Vestas,V90/3000,2004,49,686706,-113,475207,
147,Alberta,Magrath,30,MAG1,1/20,1500,77,65,GE,GE 1.5SLE,2004,49,40619879,-112,9739519,
148,Alberta,Magrath,30,MAG2,2/20,1500,77,65,GE,GE 1.5SLE,2004,49,40369617,-112,9729558,
149,Alberta,Magrath,30,MAG3,3/20,1500,77,65,GE,GE 1.5SLE,2004,49,40172587,-112,9722435,
150,Alberta,Magrath,30,MAG4,4/20,1500,77,65,GE,GE 1.5SLE,2004,49,39980285,-112,971737,
151,Alberta,Magrath,30,MAG5,5/20,1500,77,65,GE,GE 1.5SLE,2004,49,3985381,-112,9693354,
152,Alberta,Magrath,30,MAG6,6/20,1500,77,65,GE,GE 1.5SLE,2004,49,39721159,-112,9666794,
153,Alberta,Magrath,30,MAG7,7/20,1500,77,65,GE,GE 1.5SLE,2004,49,39706654,-112,9621888,
154,Alberta,Magrath,30,MAG8,8/20,1500,77,65,GE,GE 1.5SLE,2004,49,39544143,-112,9600724,
155,Alberta,Magrath,30,MAG9,9/20,1500,77,65,GE,GE 1.5SLE,2004,49,39404155,-112,9585736,
156,Alberta,Magrath,30,MAG10,10/20,1500,77,65,GE,GE 1.5SLE,2004,49,38769293,-112,9510526,
157,Alberta,Magrath,30,MAG11,11/20,1500,77,65,GE,GE 1.5SLE,2004,49,38600253,-112,9489729,
158,Alberta,Magrath,30,MAG12,12/20,1500,77,65,GE,GE 1.5SLE,2004,49,38189004,-112,9515341,
159,Alberta,Magrath,30,MAG13,13/20,1500,77,65,GE,GE 1.5SLE,2004,49,38033336,-112,949513,
160,Alberta,Magrath,30,MAG14,14/20,1500,77,65,GE,GE 1.5SLE,2004,49,37862561,-112,9476081,
161,Alberta,Magrath,30,MAG15,15/20,1500,77,65,GE,GE 1.5SLE,2004,49,37699854,-112,9456139,
162,Alberta,Magrath,30,MAG16,16/20,1500,77,65,GE,GE 1.5SLE,2004,49,37524445,-112,9435185,
